Epoca,Iteracao,Erro_Quadratico
1,1,0.060828440069885234
1,2,0.03445026196452461
1,3,0.3240014117342152
1,4,0.03923963038842977
2,1,0.31262977112329526
2,2,0.04192900503433674
2,3,0.040753400197685405
2,4,0.05727515359855337
3,1,0.31403812125573216
3,2,0.04147678240842233
3,3,0.037515799711926916
3,4,0.053544182358968344
4,1,0.04968111577094693
4,2,0.031574530350543015
4,3,0.0284792358179909
4,4,0.33066448664034426
5,1,0.3136797735842728
5,2,0.03963029128643678
5,3,0.050598660541673196
5,4,0.03235091682192701
6,1,0.044664604922316296
6,2,0.03058466748653363
6,3,0.026878912708039278
6,4,0.3285317610877021
7,1,0.029749055990646072
7,2,0.031085464214121544
7,3,0.3217828473438965
7,4,0.04401204539072257
8,1,0.02914427295132686
8,2,0.039072215811537005
8,3,0.3195330222921169
8,4,0.03450788863971834
9,1,0.03935442446703361
9,2,0.31296568257429386
9,3,0.035977145761183944
9,4,0.02988479170214048
10,1,0.037684674838511456
10,2,0.31104260159180674
10,3,0.03585711978950828
10,4,0.029366107134474427
11,1,0.036173999775538465
11,2,0.02590985818764432
11,3,0.3131617960317593
11,4,0.03437285800266859
12,1,0.027366446461180426
12,2,0.03076144118217105
12,3,0.031666111416139876
12,4,0.3154770686895406
13,1,0.027292896597920592
13,2,0.3025800690618961
13,3,0.03699168868463683
13,4,0.03502205687836393
14,1,0.02698703104311783
14,2,0.031231788896120324
14,3,0.30543450417436613
14,4,0.03400176377374549
15,1,0.032939836866577504
15,2,0.2979432977986249
15,3,0.03469747048483651
15,4,0.02828781776108207
16,1,0.03086011121578477
16,2,0.03154001000375537
16,3,0.2990760096820809
16,4,0.028217883521375546
17,1,0.03366911114216504
17,2,0.2915332220149557
17,3,0.02976165928220586
17,4,0.031013988055861398
18,1,0.02914893064991246
18,2,0.28668054841585033
18,3,0.038507757731698344
18,4,0.027839043687583102
19,1,0.2793899955648963
19,2,0.030964683804308304
19,3,0.030890704102329886
19,4,0.03704896681568507
20,1,0.027271140037605633
20,2,0.02458956118608845
20,3,0.28480841859387496
20,4,0.03764382746020467
21,1,0.2728910430981922
21,2,0.041594043830324855
21,3,0.028851462585776814
