neuronios_ocultos,taxa_aprendizado,epocas_treinadas,epocas_max,acuracia_teste,acertos,total_teste,tempo_segundos,eqm_treino_final,eqm_val_final
30,0.1,188,250,0.8513,332,390,86.55,0.000491,0.007045
30,0.3,71,250,0.8718,340,390,34.43,0.000439,0.006238
30,0.5,41,250,0.8667,338,390,19.88,0.000677,0.006341
60,0.1,118,250,0.8769,342,390,47.58,0.000535,0.006234
60,0.3,53,250,0.859,335,390,22.5,0.00063,0.006197
60,0.5,38,250,0.8692,339,390,17.47,0.000575,0.006012
90,0.1,168,250,0.8821,344,390,65.73,0.000458,0.006039
90,0.3,37,250,0.8974,350,390,14.97,0.000608,0.006177
90,0.5,44,250,0.8795,343,390,22.83,0.000551,0.006101
120,0.1,139,250,0.8718,340,390,55.46,0.000512,0.006136
120,0.3,86,250,0.8846,345,390,29.21,0.00051,0.005658
120,0.5,40,250,0.8872,346,390,13.34,0.000532,0.006193
