neuronios_ocultos,taxa_aprendizado,ini_pesos,ini_bias,epocas_treinadas,epocas_max,acuracia_val,acuracia_teste,acertos,total_teste,tempo_segundos,eqm_treino_final,eqm_val_final
30,0.1,aleatorio,aleatorio,250,250,0.8736,0.8077,315,390,50.32,0.010384,0.123697
30,0.1,Xavier,zero,250,250,0.8791,0.8436,329,390,49.75,0.007158,0.090514
30,0.3,aleatorio,aleatorio,106,250,0.8407,0.8051,314,390,21.06,0.009303,0.132259
30,0.3,Xavier,zero,87,250,0.8846,0.8487,331,390,17.32,0.007623,0.098688
30,0.5,aleatorio,aleatorio,53,250,0.8626,0.8231,321,390,10.71,0.011153,0.119107
30,0.5,Xavier,zero,83,250,0.9066,0.8641,337,390,16.47,0.006185,0.089764
30,0.6,aleatorio,aleatorio,66,250,0.8516,0.7897,308,390,13.34,0.010725,0.125519
30,0.6,Xavier,zero,49,250,0.8956,0.8692,339,390,9.85,0.006791,0.090482
30,0.7,aleatorio,aleatorio,49,250,0.8187,0.841,328,390,9.85,0.010937,0.140158
30,0.7,Xavier,zero,42,250,0.8736,0.8564,334,390,8.51,0.007991,0.099236
30,0.8,aleatorio,aleatorio,45,250,0.8187,0.8179,319,390,8.97,0.008799,0.128767
30,0.8,Xavier,zero,91,250,0.8791,0.8641,337,390,17.93,0.006461,0.084208
30,0.9,aleatorio,aleatorio,119,250,0.8462,0.8641,337,390,23.57,0.007891,0.119323
30,0.9,Xavier,zero,42,250,0.8791,0.8538,333,390,8.43,0.007735,0.103599
60,0.1,aleatorio,aleatorio,250,250,0.8571,0.8308,324,390,56.05,0.008526,0.126358
60,0.1,Xavier,zero,115,250,0.9121,0.8692,339,390,26.03,0.007514,0.079196
60,0.3,aleatorio,aleatorio,250,250,0.8626,0.8205,320,390,56.46,0.004427,0.113349
60,0.3,Xavier,zero,69,250,0.9176,0.8564,334,390,15.81,0.005887,0.078264
60,0.5,aleatorio,aleatorio,178,250,0.8516,0.8282,323,390,40.48,0.005631,0.122034
60,0.5,Xavier,zero,60,250,0.9231,0.8667,338,390,13.77,0.006034,0.071025
60,0.6,aleatorio,aleatorio,77,250,0.8681,0.8359,326,390,18.03,0.009246,0.122772
60,0.6,Xavier,zero,52,250,0.9121,0.8795,343,390,20.49,0.005384,0.07733
60,0.7,aleatorio,aleatorio,172,250,0.8681,0.8103,316,390,61.46,0.024847,0.120187
60,0.7,Xavier,zero,55,250,0.9066,0.8795,343,390,15.42,0.00712,0.075776
60,0.8,aleatorio,aleatorio,44,250,0.7967,0.7692,300,390,12.7,0.04654,0.147454
60,0.8,Xavier,zero,74,250,0.9176,0.8821,344,390,21.47,0.004955,0.077805
60,0.9,aleatorio,aleatorio,84,250,0.7747,0.7692,300,390,22.55,0.045373,0.162968
60,0.9,Xavier,zero,38,250,0.8956,0.8795,343,390,9.12,0.006735,0.085516
90,0.1,aleatorio,aleatorio,250,250,0.7747,0.7385,288,390,67.75,0.065964,0.165125
90,0.1,Xavier,zero,250,250,0.9121,0.8718,340,390,68.93,0.006098,0.076407
90,0.3,aleatorio,aleatorio,250,250,0.8626,0.841,328,390,74.55,0.005056,0.116047
90,0.3,Xavier,zero,74,250,0.9176,0.8846,345,390,20.74,0.006198,0.077806
90,0.5,aleatorio,aleatorio,249,250,0.8846,0.8205,320,390,71.0,0.004777,0.105182
90,0.5,Xavier,zero,67,250,0.9011,0.8744,341,390,18.09,0.0071,0.077021
90,0.6,aleatorio,aleatorio,222,250,0.8407,0.7744,302,390,64.52,0.045211,0.134479
90,0.6,Xavier,zero,67,250,0.8901,0.8795,343,390,19.18,0.005034,0.087492
90,0.7,aleatorio,aleatorio,134,250,0.8516,0.8333,325,390,37.93,0.009264,0.12906
90,0.7,Xavier,zero,70,250,0.9176,0.8872,346,390,19.33,0.007527,0.079208
90,0.8,aleatorio,aleatorio,88,250,0.8132,0.7769,303,390,24.5,0.048377,0.138637
90,0.8,Xavier,zero,49,250,0.9121,0.8718,340,390,13.67,0.006311,0.07638
90,0.9,aleatorio,aleatorio,117,250,0.8901,0.8282,323,390,32.65,0.009399,0.090409
90,0.9,Xavier,zero,56,250,0.9286,0.8846,345,390,16.01,0.004261,0.071865
120,0.1,aleatorio,aleatorio,250,250,0.7637,0.759,296,390,76.54,0.051114,0.174769
120,0.1,Xavier,zero,250,250,0.9121,0.8667,338,390,76.06,0.006655,0.07374
120,0.3,aleatorio,aleatorio,250,250,0.8022,0.7615,297,390,76.04,0.061969,0.14285
120,0.3,Xavier,zero,142,250,0.9176,0.8795,343,390,43.46,0.005023,0.073893
120,0.5,aleatorio,aleatorio,110,250,0.8132,0.7923,309,390,33.77,0.048018,0.151725
120,0.5,Xavier,zero,57,250,0.9066,0.8795,343,390,17.55,0.007153,0.072379
120,0.6,aleatorio,aleatorio,53,250,0.7747,0.7692,300,390,16.38,0.04653,0.167227
120,0.6,Xavier,zero,60,250,0.9286,0.8846,345,390,18.56,0.006325,0.074597
120,0.7,aleatorio,aleatorio,96,250,0.8187,0.8103,316,390,29.51,0.031311,0.144554
120,0.7,Xavier,zero,63,250,0.9396,0.8795,343,390,19.29,0.004926,0.0649
120,0.8,aleatorio,aleatorio,250,250,0.8681,0.8077,315,390,77.77,0.025907,0.122377
120,0.8,Xavier,zero,35,250,0.9121,0.8769,342,390,11.46,0.009316,0.076505
120,0.9,aleatorio,aleatorio,56,250,0.8022,0.8,312,390,17.16,0.047902,0.141665
120,0.9,Xavier,zero,56,250,0.9231,0.8744,341,390,17.48,0.005524,0.073628
