neuronios_ocultos,taxa_aprendizado,ini_pesos,ini_bias,epocas_treinadas,epocas_max,acuracia_val,acuracia_teste,acertos,total_teste,tempo_segundos,eqm_treino_final,eqm_val_final
30,0.1,aleatorio,aleatorio,250,250,0.8407,0.7974,311,390,76.13,0.032924,0.132068
30,0.1,Xavier,zero,188,250,0.9011,0.8615,336,390,74.32,0.006958,0.094004
30,0.3,aleatorio,aleatorio,137,250,0.8462,0.8051,314,390,40.63,0.027206,0.127442
30,0.3,Xavier,zero,63,250,0.9011,0.8744,341,390,17.3,0.009464,0.096937
30,0.5,aleatorio,aleatorio,97,250,0.8297,0.8205,320,390,24.82,0.028436,0.138266
30,0.5,Xavier,zero,57,250,0.8901,0.8615,336,390,15.59,0.008834,0.092835
30,0.6,aleatorio,aleatorio,156,250,0.8352,0.8179,319,390,37.84,0.027025,0.125849
30,0.6,Xavier,zero,45,250,0.9011,0.8641,337,390,10.64,0.008904,0.085077
30,0.7,aleatorio,aleatorio,96,250,0.8187,0.8026,313,390,24.22,0.026553,0.137432
30,0.7,Xavier,zero,45,250,0.9121,0.8667,338,390,12.47,0.008612,0.090379
30,0.8,aleatorio,aleatorio,55,250,0.8462,0.8154,318,390,14.97,0.029672,0.123958
30,0.8,Xavier,zero,66,250,0.8956,0.8564,334,390,17.12,0.006803,0.091171
30,0.9,aleatorio,aleatorio,62,250,0.8626,0.7846,306,390,16.46,0.027523,0.123527
30,0.9,Xavier,zero,63,250,0.9011,0.8564,334,390,16.29,0.00731,0.090095
60,0.1,aleatorio,aleatorio,250,250,0.8516,0.8359,326,390,70.28,0.009481,0.136381
60,0.1,Xavier,zero,148,250,0.9011,0.8641,337,390,86.67,0.005998,0.077172
60,0.3,aleatorio,aleatorio,239,250,0.8626,0.8154,318,390,117.25,0.005738,0.120718
60,0.3,Xavier,zero,103,250,0.9121,0.8795,343,390,31.86,0.005394,0.075583
60,0.5,aleatorio,aleatorio,90,250,0.9066,0.8179,319,390,30.91,0.008518,0.111914
60,0.5,Xavier,zero,68,250,0.9176,0.8795,343,390,26.89,0.005282,0.076261
60,0.6,aleatorio,aleatorio,105,250,0.8681,0.8154,318,390,33.92,0.009691,0.113488
60,0.6,Xavier,zero,79,250,0.9231,0.8821,344,390,26.11,0.005078,0.072785
60,0.7,aleatorio,aleatorio,250,250,0.8462,0.8256,322,390,71.9,0.00345,0.112837
60,0.7,Xavier,zero,58,250,0.9176,0.8846,345,390,17.05,0.006521,0.078359
60,0.8,aleatorio,aleatorio,59,250,0.8352,0.7974,311,390,17.0,0.025939,0.122473
60,0.8,Xavier,zero,70,250,0.9286,0.8692,339,390,20.25,0.006286,0.074567
60,0.9,aleatorio,aleatorio,105,250,0.8681,0.8462,330,390,32.83,0.006178,0.108213
60,0.9,Xavier,zero,58,250,0.9286,0.8692,339,390,17.22,0.007607,0.075433
90,0.1,aleatorio,aleatorio,163,250,0.7143,0.6718,262,390,61.93,0.085458,0.202126
90,0.1,Xavier,zero,250,250,0.9176,0.8692,339,390,78.98,0.005479,0.074228
90,0.3,aleatorio,aleatorio,250,250,0.8352,0.7769,303,390,75.71,0.025987,0.137445
90,0.3,Xavier,zero,196,250,0.9286,0.8795,343,390,59.11,0.004284,0.070166
90,0.5,aleatorio,aleatorio,101,250,0.7692,0.7385,288,390,30.98,0.0633,0.166136
90,0.5,Xavier,zero,78,250,0.9231,0.8744,341,390,24.92,0.005153,0.072318
90,0.6,aleatorio,aleatorio,110,250,0.8407,0.7667,299,390,35.74,0.043965,0.13356
90,0.6,Xavier,zero,41,250,0.9121,0.8795,343,390,12.47,0.008029,0.077309
90,0.7,aleatorio,aleatorio,208,250,0.8736,0.8538,333,390,63.21,0.005472,0.101404
90,0.7,Xavier,zero,34,250,0.9121,0.8692,339,390,10.16,0.008357,0.079275
90,0.8,aleatorio,aleatorio,176,250,0.8736,0.841,328,390,52.92,0.007446,0.106039
90,0.8,Xavier,zero,59,250,0.9121,0.8769,342,390,19.24,0.004962,0.077292
90,0.9,aleatorio,aleatorio,71,250,0.8077,0.7821,305,390,22.28,0.045269,0.139477
90,0.9,Xavier,zero,64,250,0.9176,0.8718,340,390,21.06,0.005512,0.074132
120,0.1,aleatorio,aleatorio,250,250,0.7473,0.7385,288,390,82.71,0.067075,0.189186
120,0.1,Xavier,zero,250,250,0.9121,0.8718,340,390,82.96,0.006654,0.078556
120,0.3,aleatorio,aleatorio,250,250,0.7637,0.7615,297,390,82.89,0.046617,0.162377
120,0.3,Xavier,zero,49,250,0.9121,0.8795,343,390,17.85,0.009045,0.079251
120,0.5,aleatorio,aleatorio,238,250,0.7967,0.7667,299,390,78.75,0.043917,0.159146
120,0.5,Xavier,zero,70,250,0.9231,0.8846,345,390,25.21,0.006359,0.076063
120,0.6,aleatorio,aleatorio,132,250,0.7857,0.7667,299,390,46.42,0.046573,0.154665
120,0.6,Xavier,zero,52,250,0.9231,0.8872,346,390,19.04,0.006386,0.075307
120,0.7,aleatorio,aleatorio,88,250,0.7473,0.7667,299,390,30.1,0.06578,0.166792
120,0.7,Xavier,zero,36,250,0.9176,0.8846,345,390,13.94,0.007127,0.07484
120,0.8,aleatorio,aleatorio,190,250,0.8681,0.8359,326,390,63.17,0.007389,0.119838
120,0.8,Xavier,zero,36,250,0.9231,0.8744,341,390,13.71,0.008057,0.073149
120,0.9,aleatorio,aleatorio,51,250,0.7253,0.7308,285,390,18.07,0.085639,0.183559
120,0.9,Xavier,zero,42,250,0.9176,0.8718,340,390,15.61,0.006919,0.074993
